E_keV,reaction,place_class,net_cph,sigma_cph,signif,found,origin
609.32,²¹⁴Bi (радон; T½=19;71 мин),должно отсутствовать | D — диагностический признак,10.51903317088705,24.04283437473779,0.43751219207081404,0,
636.66,³¹P(n;γ),кости | D,74.4873925195474,24.907376100423143,2.990575651936374,0,
651.09,⁶⁹Ga(n;γ),GAGG | C,64.82760736162695,30.55445793689519,2.121707002477899,0,
669.72,⁶³Cu(n;n′),проводка; шины | C,37.73716389720828,23.44435018179623,1.609648533850597,0,
690.94,⁶⁹Ga(n;γ),GAGG | B,-35.82579930664924,25.697778794073855,-1.3941204644080365,0,
712.69,мюонный X-ray K,люди | D,77.52816051173154,24.76511600595607,3.130538960248998,0,
770.3,³⁹K(n;γ),люди; багаж | B,34.596388843690434,22.191300283833044,1.559006836066061,0,
782.7,мюонный X-ray Ca,скелет | D,9.185011028124993,20.26831572796279,0.4531709073119021,0,
784.15,мюонный X-ray Ca,скелет | D,34.12081091690072,20.921092199378375,1.6309287580078897,0,
786.3,³⁵Cl(n;γ),ПВХ; тело | B,39.4263553848457,21.880964531983444,1.8018563727945414,0,
788.43,³⁵Cl(n;γ),ПВХ; тело | B,41.04610745260384,20.960882765780294,1.9582241793563053,0,
788.7,¹³⁸La (собств. активность),LaBr₃ | B (только LaBr₃),31.642822542244332,21.21199775666389,1.4917417447068855,0,
840.99,³²S(n;γ),тело; резина | C,96.14187451697875,22.84532164757435,4.208383493133563,0,
843.76,²⁷Al(n;n′) σ 100 мб @2 МэВ и ²⁷Mg-распад (71;8 %) и μ⁻-захват на Al,обшивка | A,41.81657485432396,20.10762491127437,2.0796377015605336,0,
846.78,⁵⁶Fe(n;n′) σ 528 мб @2 МэВ; пик 1999 мб @1;38 МэВ; и ⁵⁶Mn-распад (98;85 %),сталь; крепёж; двигатели | A,-8.675057860235006,22.210265976666268,-0.3905877520489343,0,
855.69,⁶⁴Zn(n;γ),сплав 7075 | D,0.2733673431274095,23.02774104508302,0.011871218396638175,0,
869.21,²³Na(n;γ),тело; NaI | C,-18.1385050569002,19.872545151570268,-0.9127419220112806,0,
870.68,¹⁶O(n;γ),воздух; вода; люди | D,-2.184963002961105,19.165392468118103,-0.11400564880660917,0,
874.39,²³Na(n;γ),тело; NaI | D,-27.808044559826534,18.5927264349957,-1.4956410323708915,0,
877.98,⁵⁸Ni(n;γ),сталь | D,-78.58225750809605,20.763502063610815,-3.7846340789406523,0,
911.2,²²⁸Ac (Th-232),торированные сплавы | D,79.95459047250979,19.47141346102981,4.10625508171409,1,gamma/primary/World 56.5%; neutron/primary/World 13.8%; e+-/conv/Pax 6.3%
928.63,⁵¹Ti распад,активация Ti | D,-46.216032471651154,20.47560812564393,-2.2571262444591116,0,
944.17,¹⁵⁷Gd(n;γ),GAGG | B,-0.33829443524399316,19.2407551537598,-0.017582180768923077,0,
962.1,¹⁵⁷Gd(n;γ) / ⁶³Cu(n;n′) 962;15,GAGG / проводка — наложение | B,4.537451227898025,14.977818024540598,0.30294474271643435,0,
983.53,⁴⁸Ti(n;n′),титановые узлы | B,-24.829934430624277,18.173628095833475,-1.366261832788184,0,
1014.52,²⁷Al(n;n′) σ 234 мб @2 МэВ и ²⁷Mg-распад (28;2 %),обшивка | A,16.867949360472362,17.66118920746307,0.9550857058563469,0,
1039.2,⁶⁶Cu распад,активация Cu | D,-3.9134310922628215,16.432031884067403,-0.23815868420127081,0,
1065.14,¹⁵⁵Gd(n;γ),GAGG | C,27.96370449781344,19.329969028106834,1.446650248489932,0,
1071.22,³¹P(n;γ),кости | D,-158.34257147927738,16.3905020326977,-9.66062974540969,0,
1087.75,¹⁶O(n;γ),вода; люди | D,33.73284577543322,17.8580384016438,1.8889446319215089,0,
1107.61,¹⁵⁷Gd(n;γ),GAGG | C,-86.38970395616319,17.016014658015088,-5.0769645943782065,0,
1115.53,⁶⁵Ni распад,активация Ni | D,11.977315461195339,17.09007497722089,0.7008345766276466,0,
1120.29,²¹⁴Bi (радон),должно отсутствовать | D,4.1494113631632255,15.902808431834549,0.26092318101857115,0,
1158.89,³⁹K(n;γ),люди | D,-131.34725417037504,14.259035176193915,-9.211510635001801,0,
1158.99,¹⁵⁵Gd(n;γ),GAGG | C,-214.60699067478794,16.688124781425095,-12.859862536122613,0,
1164.87,³⁵Cl(n;γ),ПВХ-изоляция; соль тела | B,30.718386556605758,16.0348265790002,1.9157292662482355,0,
1185.99,¹⁵⁷Gd(n;γ),GAGG | C,10.76559902745513,16.570087645432146,0.6497007896287663,0,
1230.79,¹⁵⁵Gd(n;γ),GAGG | C,-0.12165414045376899,15.03197095872235,-0.008093026575678605,0,
1249.62,¹¹⁸Sn(n;γ),припои | D,36.67269911076422,16.21302631050164,2.261928057626741,0,
1253.06,мюонные X-ray Fe (2p–1s),сталь; двигатели | C,12.541988814770239,18.432811575393625,0.6804164825030177,0,
1257.19,мюонные X-ray Fe (2p–1s),сталь; двигатели | C,-18.794595362089943,14.476864931309652,-1.2982503775000467,0,
1261.77,¹²C(n;γ),топливо; композит; люди | D,-22.42962999006363,14.566867558780075,-1.5397702971868055,0,
1273.35,²⁸Si(n;γ),электроника; стекло | D,-3.196455591130781,15.467664134212649,-0.2066540599404792,0,
1274.54,²²Na распад,долгоживущая активация Al/Mg | D,-10.60240286314901,14.829623667355948,-0.7149475334622142,0,
1293.64,⁴¹Ar распад,воздух салона — подавлен вентиляцией | D,5.812669859665928,14.75627939387972,0.39391161582890455,0,
1326.01,⁶³Cu(n;n′),проводка | D,12.268470720172331,15.17471687188049,0.8084810295806192,0,
1368.63,²⁴Na распад (99;99 %) и ²⁴Mg(n;n′) 1368;67,Al-сплавы; активация | B,8.05421113780298,15.127193683915078,0.5324326048900344,0,
1381.74,⁴⁸Ti(n;γ),титановые узлы; двигатели | B,0.7477983828380266,12.67824134760934,0.058982816491266306,0,
1408.9,⁴⁹Ca распад,— | D,45.83700453403472,15.826017405445585,2.8963069709668483,0,
1434.06,⁵²V-распад (100 %) и ⁵²Cr(n;n′) σ 1003 мб @2 МэВ,нержавеющая сталь | B,1.1575561637269844,19.497937057446592,0.059368135219458724,0,
1434.09,⁵²V-распад (100 %) и ⁵²Cr(n;n′) σ 1003 мб @2 МэВ,нержавеющая сталь | B,1.1575561637270892,19.497937057446592,0.0593681352194641,0,
1435.8,¹³⁸La (собств. активность),LaBr₃ | A (только LaBr₃),30.489701495265233,16.886918862260327,1.8055218802172988,0,
1454.21,⁵⁸Ni(n;n′) σ 578 мб @2 МэВ,жаропрочные сплавы | B,-23.075051190922146,13.235483335148187,-1.7434233874666274,0,
1460.82,⁴⁰K распад,пассажиры; багаж; стекло; керамика | A,87.21951656613619,15.431031673641126,5.652215510329243,1,gamma/RadioactiveDecay/Pax 79.3%; e+-/primary/World 8.3%; gamma/eBrem/Pax 7.4%
1460.85,⁴⁰Ar(n;n′) — наложение на ⁴⁰K!,воздух салона | B; ловушка,87.21951656613615,15.431031673641126,5.65221551032924,1,gamma/RadioactiveDecay/Pax 79.3%; e+-/primary/World 8.3%; gamma/eBrem/Pax 7.4%
1481.84,⁶⁵Ni распад,активация Ni | D,-80.11776833586707,14.935021533810525,-5.364422686267517,0,
1585.94,⁴⁸Ti(n;γ),титан | C,-27.887739234316676,16.790517195006778,-1.6609219900986747,0,
1612.79,⁵⁶Fe(n;γ),сталь | C,30.67683192660205,15.48637919891566,1.980891177503261,0,
1618.97,³⁹K(n;γ),люди | D,-83.14232186905136,14.715178402223641,-5.650106277779653,0,
1622.88,²⁷Al(n;γ),обшивка | C,-13.566747449284453,14.038309898796152,-0.9664088873296537,0,
1635.2,¹⁴N(n;n′) (3948;1→2312;8); σ(MT52) 100 мб @6;75 МэВ,воздух; люди | B,-14.554659803504478,13.775562319490101,-1.0565564922828656,0,
