# Извлечено 2026-08-09 из IAEA Live Chart of Nuclides (nds.iaea.org/relnsd/v1/data?fields=decay_rads&rad_types=g).
# Только строки с непустыми start_level_energy/end_level_energy (нуклидные гамма-переходы, не характеристический рентген).
# Назначение: F_B в export_data.py._sum_peaks_with_fb() и в tools/enumerate_sum_peaks.py (аудит Б1/Б4, коммит df5d178). Список нуклидов — ОБЕ цепочки целиком (Th-232 и Ra-226), см. докстринг tools/fetch_conversion_coeff.py.
nuclide,E_keV,I_percent,level,conversion_coeff,unc_cc,multipolarity,source
Ac228,572.14,0.15,968.335->396.083,0.09,,[M1 E2],"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,583.41,0.111,979.507->396.083,0.00932,,[E1],"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,590.4,0.017,1743.87->1153.465,0.0292,,[E2],"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,610.64,0.023,938.61->328.006,0.00853,,[E1],"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,616.22,0.08,944.200->328.006,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,620.38,0.08,1016.386->396.083,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,623.27,0.011,1646.005->1022.531,0.07,,[M1 E2],"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,627.23,0.014,1643.119->1016.386,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,629.4,0.045,1646.005->1016.386,0.07,,[D E2],"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,640.34,0.054,968.335->328.006,0.0245,,[E2],"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
