nuclide,E_keV,I_percent,unc_I_percent,source,level,line_type
Ac228,399.62,0.029,0.003,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1743.87->1344.082,gamma
Ac228,409.462,1.92,0.04,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1431.981->1022.531,gamma
Ac228,416.3,0.0132,0.0021,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1539.24->1122.949,gamma
Ac228,419.42,0.021,0.003,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1646.005->1226.566,gamma
Ac228,440.44,0.121,0.008,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1531.478->1091.020,gamma
Ac228,449.15,0.048,0.005,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,968.45->519.195,gamma
Ac228,452.47,0.015,0.005,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1431.981->979.507,gamma
Ac228,457.17,0.015,0.0023,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1683.71->1226.566,gamma
Ac228,463.004,4.4,0.07,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1431.981->968.972,gamma
Ac228,466.4,0.029,0.003,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,,gamma
Ac228,470.25,0.013,0.003,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1638.283->1168.377,gamma
Ac228,471.76,0.033,0.003,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1416.09->944.200,gamma
Ac228,474.75,0.022,0.003,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1643.119->1168.377,gamma
Ac228,478.33,0.209,0.015,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,874.48->396.083,gamma
Ac228,480.94,0.023,0.005,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1450.35->968.972,gamma
Ac228,490.33,0.0111,0.0023,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1906.63->1416.09,gamma
Ac228,492.37,0.0235,0.0023,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1646.005->1153.465,gamma
Ac228,497.49,0.0059,0.0018,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1724.288->1226.566,gamma
Ac228,503.823,0.182,0.012,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,831.822->328.006,gamma
Ac228,508.959,0.45,0.05,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1531.478->1022.531,gamma
Ac228,515.06,0.049,0.005,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1638.283->1122.949,gamma
Ac228,520.151,0.067,0.005,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1643.119->1122.949,gamma
Ac228,523.131,0.103,0.008,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1646.005->1122.949,gamma
Ac228,540.76,0.026,0.003,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1059.94->519.195,gamma
Ac228,546.47,0.201,0.013,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,874.48->328.006,gamma
Ac228,548.73,0.023,0.003,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1724.288->1175.45,gamma
Ac228,555.12,0.046,0.005,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1646.005->1091.020,gamma
Ac228,562.5,0.87,0.03,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1531.478->968.972,gamma
Ac228,570.91,0.182,0.024,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1724.288->1153.465,gamma
