nuclide,E_keV,I_percent,unc_I_percent,source,level,line_type
Bi214,687.560,0.0068,0.0018,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2698.60->2010.831,gamma
Bi214,693.100,0.0055,0.0018,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2423.25->1729.613,gamma
Bi214,697.890,0.06,0.007,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,1712.93->1015.041,gamma
Bi214,699.860,0.018,0.004,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2694.62->1994.639,gamma
Bi214,703.100,0.482,0.018,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2118.535->1415.498,gamma
Bi214,704.960,0.047,0.01,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2447.701->1742.99,gamma
Bi214,708.950,0.0123,0.0014,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2719.26->2010.831,gamma
Bi214,710.690,0.0741,0.0018,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2088.44->1377.681,gamma
Bi214,719.860,0.409,0.014,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,1994.639->1274.765,gamma
Bi214,723.010,0.036,0.004,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2266.41->1543.370,gamma
Bi214,727.000,0.036,0.014,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,,gamma
Bi214,733.810,0.04,0.004,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2728.617->1994.639,gamma
Bi214,740.770,0.0432,0.0023,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2118.535->1377.681,gamma
Bi214,752.840,0.132,0.009,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2482.460->1729.613,gamma
