nuclide,E_keV,I_percent,unc_I_percent,source,level,line_type
Am241,120.36,4.5e-06,0.000000045,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,444.78->324.421,gamma
Am241,123.052,0.001,0.000031622776601683795,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,226.005->102.959,gamma
Am241,125.3,0.00408,0.00009881619300499286,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,158.500->33.19632,gamma
Am241,139.44,5.3e-06,0.0000011012760780113223,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,592.33->452.547,gamma
Am241,146.55,0.000461,0.000011926948478131361,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,305.05->158.500,gamma
Am241,150.04,7.4e-05,0.000002226566864030811,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,226.005->75.900,gamma
Am241,154.27,5.4e-07,0.0000000054,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,514.20->359.92,gamma
Am241,159.26,1.4e-06,0.0000005001959615990517,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,592.33->434.12,gamma
Am241,161.54,1.5e-06,0.000000015,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,486.22->324.421,gamma
Am241,164.69,6.67e-05,0.000002490961460962413,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,267.566->102.959,gamma
Am241,165.81,2.32e-05,0.0000011241992705921847,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,324.421->158.500,gamma
Am241,169.56,0.000173,0.000004358084441586694,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,395.57->226.005,gamma
Am241,175.07,1.82e-05,0.000001016427075593719,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,305.05->129.99,gamma
