             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22
 *****************  New condition ***********************************************************************************************
W-index= 11.1 Rc(GV)= 1.3758 depth(g/cm2)= 231.465 g= 10
 Particle name = neutro
 E(MeV/n) /cos            -1          -0.9          -0.8          -0.7          -0.6          -0.5          -0.4          -0.3          -0.2          -0.1             0           0.1           0.2           0.3           0.4           0.5           0.6           0.7           0.8           0.9             1 (/(MeV/n)/cm2/s/sr)
  4.496500e-06  2.624870e+03  2.631397e+03  2.637914e+03  2.644420e+03  2.650913e+03  2.657390e+03  2.663849e+03  2.670286e+03  2.676691e+03  2.683051e+03  2.684501e+03  2.684087e+03  2.687164e+03  2.690686e+03  2.694533e+03  2.698641e+03  2.702971e+03  2.707494e+03  2.712190e+03  2.717042e+03  2.722037e+03
  5.660800e-06  2.119525e+03  2.124796e+03  2.130059e+03  2.135313e+03  2.140556e+03  2.145786e+03  2.151002e+03  2.156200e+03  2.161372e+03  2.166508e+03  2.167680e+03  2.167348e+03  2.169835e+03  2.172683e+03  2.175792e+03  2.179114e+03  2.182614e+03  2.186270e+03  2.190066e+03  2.193989e+03  2.198027e+03
  7.126400e-06  1.709906e+03  1.714159e+03  1.718405e+03  1.722644e+03  1.726874e+03  1.731094e+03  1.735302e+03  1.739496e+03  1.743669e+03  1.747812e+03  1.748758e+03  1.748493e+03  1.750502e+03  1.752802e+03  1.755314e+03  1.757997e+03  1.760824e+03  1.763778e+03  1.766844e+03  1.770013e+03  1.773275e+03
  8.971600e-06  1.378407e+03  1.381836e+03  1.385259e+03  1.388676e+03  1.392087e+03  1.395489e+03  1.398882e+03  1.402262e+03  1.405627e+03  1.408967e+03  1.409730e+03  1.409518e+03  1.411140e+03  1.412997e+03  1.415025e+03  1.417191e+03  1.419474e+03  1.421858e+03  1.424334e+03  1.426892e+03  1.429525e+03
  1.129400e-05  1.110576e+03  1.113339e+03  1.116097e+03  1.118851e+03  1.121599e+03  1.124340e+03  1.127074e+03  1.129798e+03  1.132509e+03  1.135200e+03  1.135816e+03  1.135646e+03  1.136956e+03  1.138454e+03  1.140091e+03  1.141839e+03  1.143681e+03  1.145606e+03  1.147603e+03  1.149668e+03  1.151793e+03
  1.421900e-05  8.942842e+02  8.965093e+02  8.987308e+02  9.009484e+02  9.031614e+02  9.053693e+02  9.075708e+02  9.097645e+02  9.119477e+02  9.141150e+02  9.146119e+02  9.144767e+02  9.155330e+02  9.167420e+02  9.180625e+02  9.194727e+02  9.209588e+02  9.225114e+02  9.241231e+02  9.257886e+02  9.275032e+02
  1.790100e-05  7.198701e+02  7.216615e+02  7.234500e+02  7.252354e+02  7.270171e+02  7.287946e+02  7.305670e+02  7.323331e+02  7.340907e+02  7.358356e+02  7.362361e+02  7.361286e+02  7.369807e+02  7.379559e+02  7.390211e+02  7.401587e+02  7.413576e+02  7.426100e+02  7.439102e+02  7.452536e+02  7.466368e+02
  2.253600e-05  5.793126e+02  5.807545e+02  5.821941e+02  5.836311e+02  5.850652e+02  5.864959e+02  5.879224e+02  5.893439e+02  5.907586e+02  5.921630e+02  5.924858e+02  5.924004e+02  5.930878e+02  5.938746e+02  5.947338e+02  5.956515e+02  5.966186e+02  5.976289e+02  5.986777e+02  5.997615e+02  6.008773e+02
  2.837100e-05  4.660928e+02  4.672531e+02  4.684116e+02  4.695681e+02  4.707221e+02  4.718734e+02  4.730214e+02  4.741653e+02  4.753038e+02  4.764338e+02  4.766941e+02  4.766264e+02  4.771809e+02  4.778157e+02  4.785089e+02  4.792492e+02  4.800295e+02  4.808445e+02  4.816907e+02  4.825650e+02  4.834651e+02
  3.571700e-05  3.749303e+02  3.758639e+02  3.767961e+02  3.777266e+02  3.786551e+02  3.795815e+02  3.805052e+02  3.814256e+02  3.823415e+02  3.832508e+02  3.834605e+02  3.834070e+02  3.838545e+02  3.843667e+02  3.849260e+02  3.855234e+02  3.861529e+02  3.868106e+02  3.874933e+02  3.881988e+02  3.889251e+02
