cond,header,particle,flux_total,flux_lt0.5eV,flux_0.5eV-0.1MeV,flux_gt1MeV,flux_gt10MeV,Edep_dose_uSvph
9,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 4.087000e+01 Lon(deg)= 1.345070e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",muplus,6.5614e-02,0.0000e+00,3.5409e-08,6.5613e-02,6.5512e-02,8.0530e-02
9,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 4.087000e+01 Lon(deg)= 1.345070e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",muminus,6.1234e-02,0.0000e+00,3.6571e-08,6.1232e-02,6.1129e-02,7.5322e-02
9,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 4.087000e+01 Lon(deg)= 1.345070e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",electron,6.1578e-01,0.0000e+00,2.9779e-02,4.7076e-01,2.6840e-01,2.3894e-01
9,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 4.087000e+01 Lon(deg)= 1.345070e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",positron,3.0153e-01,0.0000e+00,3.2910e-04,2.9164e-01,2.2326e-01,2.1803e-01
9,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 4.087000e+01 Lon(deg)= 1.345070e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",photon,2.0419e+01,0.0000e+00,8.1705e+00,4.0162e+00,1.5533e+00,4.3319e-01
10,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 3.555000e+01 Lon(deg)= 1.397800e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",neutron,1.5047e+00,4.3620e-02,5.5863e-01,6.3027e-01,3.4585e-01,8.6182e-01
10,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 3.555000e+01 Lon(deg)= 1.397800e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",proton,8.3275e-02,0.0000e+00,1.8889e-06,8.3251e-02,8.2567e-02,3.7989e-01
10,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 3.555000e+01 Lon(deg)= 1.397800e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",muplus,5.8755e-02,0.0000e+00,2.9415e-08,5.8754e-02,5.8670e-02,7.2100e-02
10,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 3.555000e+01 Lon(deg)= 1.397800e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",muminus,5.4952e-02,0.0000e+00,3.0330e-08,5.4950e-02,5.4864e-02,6.7573e-02
10,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 3.555000e+01 Lon(deg)= 1.397800e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",electron,5.5883e-01,0.0000e+00,2.7024e-02,4.2722e-01,2.4358e-01,2.1684e-01
10,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 3.555000e+01 Lon(deg)= 1.397800e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",positron,2.7228e-01,0.0000e+00,2.9717e-04,2.6335e-01,2.0160e-01,1.9688e-01
10,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 3.555000e+01 Lon(deg)= 1.397800e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",photon,1.8372e+01,0.0000e+00,7.3515e+00,3.6137e+00,1.3976e+00,3.8977e-01
11,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 5.597000e+01 Lon(deg)= 3.741000e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",neutron,4.5805e+00,1.3385e-01,1.7463e+00,1.8713e+00,1.0370e+00,2.5120e+00
11,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 5.597000e+01 Lon(deg)= 3.741000e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",proton,2.5337e-01,0.0000e+00,5.7164e-06,2.5329e-01,2.5122e-01,1.1275e+00
11,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 5.597000e+01 Lon(deg)= 3.741000e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",muplus,8.5827e-02,0.0000e+00,6.5454e-08,8.5823e-02,8.5637e-02,1.0572e-01
11,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 5.597000e+01 Lon(deg)= 3.741000e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",muminus,7.6845e-02,0.0000e+00,6.5289e-08,7.6842e-02,7.6658e-02,9.4916e-02
11,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 5.597000e+01 Lon(deg)= 3.741000e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",electron,8.1142e-01,0.0000e+00,3.9239e-02,6.2032e-01,3.5367e-01,3.1485e-01
11,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 5.597000e+01 Lon(deg)= 3.741000e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",positron,3.8454e-01,0.0000e+00,4.1970e-04,3.7193e-01,2.8472e-01,2.7805e-01
11,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 5.597000e+01 Lon(deg)= 3.741000e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",photon,2.7919e+01,0.0000e+00,1.1172e+01,5.4916e+00,2.1239e+00,5.9232e-01
12,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 5.891900e+01 Lon(deg)= 4.869600e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",neutron,4.9186e+00,1.4385e-01,1.8772e+00,2.0071e+00,1.1119e+00,2.6895e+00
12,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 5.891900e+01 Lon(deg)= 4.869600e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",proton,2.6626e-01,0.0000e+00,6.0570e-06,2.6618e-01,2.6399e-01,1.1843e+00
12,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 5.891900e+01 Lon(deg)= 4.869600e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",muplus,8.6875e-02,0.0000e+00,6.8018e-08,8.6871e-02,8.6677e-02,1.0706e-01
12,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 5.891900e+01 Lon(deg)= 4.869600e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",muminus,7.7949e-02,0.0000e+00,6.7807e-08,7.7946e-02,7.7755e-02,9.6317e-02
12,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 5.891900e+01 Lon(deg)= 4.869600e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",electron,8.2329e-01,0.0000e+00,3.9814e-02,6.2940e-01,3.5885e-01,3.1945e-01
12,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 5.891900e+01 Lon(deg)= 4.869600e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",positron,3.9000e-01,0.0000e+00,4.2566e-04,3.7721e-01,2.8877e-01,2.8200e-01
12,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 5.891900e+01 Lon(deg)= 4.869600e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",photon,2.8592e+01,0.0000e+00,1.1441e+01,5.6239e+00,2.1750e+00,6.0659e-01
13,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 6.072700e+01 Lon(deg)= 6.163900e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",neutron,5.1462e+00,1.5057e-01,1.9650e+00,2.0989e+00,1.1626e+00,2.8096e+00
13,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 6.072700e+01 Lon(deg)= 6.163900e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",proton,2.7415e-01,0.0000e+00,6.2754e-06,2.7406e-01,2.7179e-01,1.2186e+00
13,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 6.072700e+01 Lon(deg)= 6.163900e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",muplus,8.7461e-02,0.0000e+00,6.9556e-08,8.7457e-02,8.7258e-02,1.0781e-01
13,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 6.072700e+01 Lon(deg)= 6.163900e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",muminus,7.8679e-02,0.0000e+00,6.9428e-08,7.8675e-02,7.8479e-02,9.7242e-02
13,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 6.072700e+01 Lon(deg)= 6.163900e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",electron,8.3010e-01,0.0000e+00,4.0143e-02,6.3460e-01,3.6182e-01,3.2209e-01
13,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 6.072700e+01 Lon(deg)= 6.163900e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",positron,3.9317e-01,0.0000e+00,4.2912e-04,3.8028e-01,2.9112e-01,2.8429e-01
