cond,header,particle,flux_total,flux_lt0.5eV,flux_0.5eV-0.1MeV,flux_gt1MeV,flux_gt10MeV,Edep_dose_uSvph
9,"W-index= 1.500000e+02 Rc(GV)= 1.375800e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",muminus,6.7045e-02,0.0000e+00,5.1740e-08,6.7042e-02,6.6894e-02,8.2762e-02
9,"W-index= 1.500000e+02 Rc(GV)= 1.375800e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",electron,6.7533e-01,0.0000e+00,3.2658e-02,5.1628e-01,2.9436e-01,2.6204e-01
9,"W-index= 1.500000e+02 Rc(GV)= 1.375800e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",positron,3.2142e-01,0.0000e+00,3.5081e-04,3.1088e-01,2.3799e-01,2.3241e-01
9,"W-index= 1.500000e+02 Rc(GV)= 1.375800e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",photon,2.2660e+01,0.0000e+00,9.0675e+00,4.4572e+00,1.7238e+00,4.8075e-01
10,"W-index= 0.000000e+00 Rc(GV)= 1.123490e+01 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",neutron,1.5110e+00,4.3802e-02,5.6096e-01,6.3290e-01,3.4730e-01,8.6539e-01
10,"W-index= 0.000000e+00 Rc(GV)= 1.123490e+01 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",proton,8.3701e-02,0.0000e+00,1.8982e-06,8.3676e-02,8.2989e-02,3.8185e-01
10,"W-index= 0.000000e+00 Rc(GV)= 1.123490e+01 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",muplus,5.9008e-02,0.0000e+00,2.9588e-08,5.9006e-02,5.8922e-02,7.2410e-02
10,"W-index= 0.000000e+00 Rc(GV)= 1.123490e+01 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",muminus,5.5226e-02,0.0000e+00,3.0527e-08,5.5225e-02,5.5138e-02,6.7909e-02
10,"W-index= 0.000000e+00 Rc(GV)= 1.123490e+01 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",electron,5.6130e-01,0.0000e+00,2.7144e-02,4.2911e-01,2.4466e-01,2.1780e-01
10,"W-index= 0.000000e+00 Rc(GV)= 1.123490e+01 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",positron,2.7365e-01,0.0000e+00,2.9867e-04,2.6467e-01,2.0262e-01,1.9787e-01
10,"W-index= 0.000000e+00 Rc(GV)= 1.123490e+01 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",photon,1.8466e+01,0.0000e+00,7.3893e+00,3.6322e+00,1.4048e+00,3.9177e-01
11,"W-index= 1.110000e+01 Rc(GV)= 1.123490e+01 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",neutron,1.5047e+00,4.3620e-02,5.5863e-01,6.3027e-01,3.4585e-01,8.6182e-01
11,"W-index= 1.110000e+01 Rc(GV)= 1.123490e+01 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",proton,8.3275e-02,0.0000e+00,1.8889e-06,8.3251e-02,8.2567e-02,3.7989e-01
11,"W-index= 1.110000e+01 Rc(GV)= 1.123490e+01 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",muplus,5.8755e-02,0.0000e+00,2.9415e-08,5.8754e-02,5.8670e-02,7.2100e-02
11,"W-index= 1.110000e+01 Rc(GV)= 1.123490e+01 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",muminus,5.4952e-02,0.0000e+00,3.0330e-08,5.4950e-02,5.4864e-02,6.7573e-02
11,"W-index= 1.110000e+01 Rc(GV)= 1.123490e+01 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",electron,5.5883e-01,0.0000e+00,2.7024e-02,4.2722e-01,2.4358e-01,2.1684e-01
11,"W-index= 1.110000e+01 Rc(GV)= 1.123490e+01 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",positron,2.7228e-01,0.0000e+00,2.9717e-04,2.6335e-01,2.0160e-01,1.9688e-01
11,"W-index= 1.110000e+01 Rc(GV)= 1.123490e+01 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",photon,1.8372e+01,0.0000e+00,7.3515e+00,3.6137e+00,1.3976e+00,3.8977e-01
12,"W-index= 6.880000e+01 Rc(GV)= 1.123490e+01 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",neutron,1.4247e+00,4.1294e-02,5.2893e-01,5.9677e-01,3.2746e-01,8.1635e-01
12,"W-index= 6.880000e+01 Rc(GV)= 1.123490e+01 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",proton,7.7980e-02,0.0000e+00,1.7696e-06,7.7957e-02,7.7316e-02,3.5567e-01
12,"W-index= 6.880000e+01 Rc(GV)= 1.123490e+01 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",muplus,5.5892e-02,0.0000e+00,2.7454e-08,5.5891e-02,5.5813e-02,6.8594e-02
12,"W-index= 6.880000e+01 Rc(GV)= 1.123490e+01 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",muminus,5.2029e-02,0.0000e+00,2.8229e-08,5.2028e-02,5.1948e-02,6.3989e-02
12,"W-index= 6.880000e+01 Rc(GV)= 1.123490e+01 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",electron,5.3068e-01,0.0000e+00,2.5663e-02,4.0570e-01,2.3131e-01,2.0592e-01
12,"W-index= 6.880000e+01 Rc(GV)= 1.123490e+01 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",positron,2.5728e-01,0.0000e+00,2.8080e-04,2.4884e-01,1.9050e-01,1.8603e-01
