E_keV,k_organic_0.49,k_soil_1.20,k_soil_1.60,k_water_1.00
2755.0,0.9526,0.7546,1.6282,0.2378
2765.0,0.9495,0.7508,1.6296,0.2388
2775.0,0.9465,0.7474,1.6311,0.2399
2785.0,0.9434,0.7441,1.6327,0.2409
2795.0,0.9404,0.7410,1.6345,0.2419
2805.0,0.9374,0.7381,1.6363,0.2429
2815.0,0.9345,0.7336,1.6383,0.2439
2825.0,0.9316,0.7288,1.6334,0.2450
2835.0,0.9287,0.7268,1.6362,0.2460
2845.0,0.8630,0.6802,1.7087,0.2679
