#@ stamp.version = 1
#@ src.script = detectors/Gamma-1S/analysis/geometry_response.py
#@ src.git = 2b24cc2-dirty
#@ src.tree_sha1 = bd17f9bea1e4
#@ src.inputs_verdict = ok
#@ src.inputs_n = 168
#@ src.inputs_sha1 = bd17f9bea1e4
#@ obs.quantity = эффективность на испущенный квант; отношения между геометриями и между группами
#@ obs.area = пик полного поглощения в депозит-спектре (наша) против узлов аттестованной кривой .efr (ЛСРМ)
#@ obs.window = +-6.0 кэВ = 12 каналов (счёт в каналах; ширина не зависит от дробной части E)
#@ obs.shelf = односторонняя [E-25; E-10] = 15 каналов; множитель вычитания 12/15
#@ obs.blurred = нет (депозит как есть; на ПШПВ не нормируется)
#@ obs.cone = конусные сетки приведены делением на долю телесного угла из шапки спектра
#@ obs.density_assumption = плотность объёмных проб в аттестации не совпадает с сеткой; дана вилка 0;60 и 1;60 г/см3
#@ obs.sequence = точка 5 см -> Петри 60 мл -> Дента 120 мл -> Маринелли 1 л
# Отклик двух групп кривых на смену геометрии в последовательности точка -> Петри -> Дента -> Маринелли.
# block=группы: наша/ЛСРМ по общим узлам в каждой геометрии.
# block=отклик: отношение кривой к ПРЕДЫДУЩЕЙ геометрии внутри своей группы (форма отклика;
#   всё; что от геометрии не зависит; сокращается).
# block=корреляция: value — наклон нашего отклика по ln E; sigma — наклон отклика ЛСРМ.
# Обе группы — эффективность НА ИСПУЩЕННЫЙ КВАНТ; выход линии не участвует.
# Плотность объёмных проб в аттестации против нашей сетки — ДОПУЩЕНИЕ; отклик дан вилкой 0;60/1;60.
block,case,series,E_keV,value,sigma
отклик,Дента 120 мл / Петри 60 мл,denta1.60,351.900,0.74543,0.00741
отклик,Дента 120 мл / Петри 60 мл,denta1.60,463.000,0.74744,0.00826
отклик,Дента 120 мл / Петри 60 мл,denta1.60,583.200,0.77202,0.00944
отклик,Дента 120 мл / Петри 60 мл,denta1.60,609.300,0.77218,0.00961
отклик,Дента 120 мл / Петри 60 мл,denta1.60,661.700,0.76352,0.00985
отклик,Дента 120 мл / Петри 60 мл,denta1.60,768.400,0.74522,0.01026
отклик,Дента 120 мл / Петри 60 мл,denta1.60,911.200,0.77857,0.01149
отклик,Дента 120 мл / Петри 60 мл,denta1.60,1120.300,0.76852,0.01251
отклик,Дента 120 мл / Петри 60 мл,denta1.60,1460.800,0.79018,0.01438
отклик,Дента 120 мл / Петри 60 мл,denta1.60,1764.500,0.76773,0.01519
отклик,Дента 120 мл / Петри 60 мл,denta1.60,2614.500,0.78206,0.01873
отклик,Дента 120 мл / Петри 60 мл,denta1.60,3000.000,0.78443,0.02019
отклик,Дента 120 мл / Петри 60 мл,denta1.60,3304.800,0.76483,0.02060
отклик,Дента 120 мл / Петри 60 мл,denta1.60,3552.500,0.76828,0.02170
отклик,Маринелли 1 л / Дента 120 мл,ЛСРМ,238.632,0.67012,0.03311
отклик,Маринелли 1 л / Дента 120 мл,ЛСРМ,241.995,0.59200,0.03425
отклик,Маринелли 1 л / Дента 120 мл,ЛСРМ,295.223,0.68279,0.03777
отклик,Маринелли 1 л / Дента 120 мл,ЛСРМ,338.320,0.51077,0.02904
отклик,Маринелли 1 л / Дента 120 мл,ЛСРМ,351.932,0.73271,0.03557
отклик,Маринелли 1 л / Дента 120 мл,ЛСРМ,583.187,0.72831,0.03458
отклик,Маринелли 1 л / Дента 120 мл,ЛСРМ,609.320,0.76977,0.03440
отклик,Маринелли 1 л / Дента 120 мл,ЛСРМ,661.657,0.76579,0.02775
отклик,Маринелли 1 л / Дента 120 мл,ЛСРМ,911.204,0.60359,0.04161
отклик,Маринелли 1 л / Дента 120 мл,ЛСРМ,1120.294,0.82397,0.04135
отклик,Маринелли 1 л / Дента 120 мл,ЛСРМ,1460.822,0.63650,0.03269
отклик,Маринелли 1 л / Дента 120 мл,ЛСРМ,1764.491,0.83440,0.04359
отклик,Маринелли 1 л / Дента 120 мл,ЛСРМ,2614.511,0.67921,0.03361
отклик,Маринелли 1 л / Дента 120 мл,rho1.00,45.300,1.39298,0.03303
отклик,Маринелли 1 л / Дента 120 мл,rho1.00,56.100,1.24838,0.02060
отклик,Маринелли 1 л / Дента 120 мл,rho1.00,59.500,1.20964,0.01851
отклик,Маринелли 1 л / Дента 120 мл,rho1.00,88.000,0.99399,0.01264
отклик,Маринелли 1 л / Дента 120 мл,rho1.00,122.100,0.94221,0.01030
отклик,Маринелли 1 л / Дента 120 мл,rho1.00,165.900,0.95825,0.00959
отклик,Маринелли 1 л / Дента 120 мл,rho1.00,238.600,0.94689,0.00932
отклик,Маринелли 1 л / Дента 120 мл,rho1.00,242.000,0.98002,0.00969
отклик,Маринелли 1 л / Дента 120 мл,rho1.00,295.200,0.97384,0.00997
отклик,Маринелли 1 л / Дента 120 мл,rho1.00,338.300,0.99224,0.01056
отклик,Маринелли 1 л / Дента 120 мл,rho1.00,351.900,0.97340,0.01044
отклик,Маринелли 1 л / Дента 120 мл,rho1.00,463.000,0.98044,0.01165
отклик,Маринелли 1 л / Дента 120 мл,rho1.00,583.200,0.97950,0.01280
отклик,Маринелли 1 л / Дента 120 мл,rho1.00,609.300,0.98940,0.01311
отклик,Маринелли 1 л / Дента 120 мл,rho1.00,661.700,0.97774,0.01350
отклик,Маринелли 1 л / Дента 120 мл,rho1.00,768.400,0.97572,0.01448
отклик,Маринелли 1 л / Дента 120 мл,rho1.00,911.200,0.97699,0.01537
отклик,Маринелли 1 л / Дента 120 мл,rho1.00,1120.300,0.98392,0.01710
отклик,Маринелли 1 л / Дента 120 мл,rho1.00,1460.800,0.95355,0.01855
отклик,Маринелли 1 л / Дента 120 мл,rho1.00,1764.500,0.95434,0.02032
отклик,Маринелли 1 л / Дента 120 мл,rho1.00,2614.500,0.95403,0.02449
отклик,Маринелли 1 л / Дента 120 мл,rho1.00,3000.000,1.01438,0.02754
отклик,Маринелли 1 л / Дента 120 мл,rho1.00,3304.800,0.95514,0.02772
отклик,Маринелли 1 л / Дента 120 мл,rho1.00,3552.500,0.99198,0.02985
отклик,Маринелли 1 л / Дента 120 мл,rho1.60,45.300,0.89872,0.02363
отклик,Маринелли 1 л / Дента 120 мл,rho1.60,56.100,0.81299,0.01493
отклик,Маринелли 1 л / Дента 120 мл,rho1.60,59.500,0.81723,0.01379
отклик,Маринелли 1 л / Дента 120 мл,rho1.60,88.000,0.78012,0.01061
отклик,Маринелли 1 л / Дента 120 мл,rho1.60,122.100,0.77825,0.00909
отклик,Маринелли 1 л / Дента 120 мл,rho1.60,165.900,0.82731,0.00870
отклик,Маринелли 1 л / Дента 120 мл,rho1.60,238.600,0.84679,0.00863
отклик,Маринелли 1 л / Дента 120 мл,rho1.60,242.000,0.86246,0.00887
отклик,Маринелли 1 л / Дента 120 мл,rho1.60,295.200,0.87869,0.00928
отклик,Маринелли 1 л / Дента 120 мл,rho1.60,338.300,0.89442,0.00982
отклик,Маринелли 1 л / Дента 120 мл,rho1.60,351.900,0.88808,0.00979
отклик,Маринелли 1 л / Дента 120 мл,rho1.60,463.000,0.91499,0.01109
отклик,Маринелли 1 л / Дента 120 мл,rho1.60,583.200,0.88505,0.01189
отклик,Маринелли 1 л / Дента 120 мл,rho1.60,609.300,0.89567,0.01219
отклик,Маринелли 1 л / Дента 120 мл,rho1.60,661.700,0.89333,0.01264
отклик,Маринелли 1 л / Дента 120 мл,rho1.60,768.400,0.91544,0.01381
отклик,Маринелли 1 л / Дента 120 мл,rho1.60,911.200,0.92094,0.01472
отклик,Маринелли 1 л / Дента 120 мл,rho1.60,1120.300,0.92896,0.01639
отклик,Маринелли 1 л / Дента 120 мл,rho1.60,1460.800,0.92334,0.01812
отклик,Маринелли 1 л / Дента 120 мл,rho1.60,1764.500,0.93151,0.01997
отклик,Маринелли 1 л / Дента 120 мл,rho1.60,2614.500,0.94303,0.02430
отклик,Маринелли 1 л / Дента 120 мл,rho1.60,3000.000,0.94723,0.02616
отклик,Маринелли 1 л / Дента 120 мл,rho1.60,3304.800,0.94692,0.02754
отклик,Маринелли 1 л / Дента 120 мл,rho1.60,3552.500,0.95965,0.02912
корреляция,Петри 60 мл / точка 5 см,petri0.60,,+0.1692,+0.0252
корреляция,Петри 60 мл / точка 5 см,petri1.60,,+0.2853,+0.0252
корреляция,Дента 120 мл / Петри 60 мл,denta0.60,,-0.0675,+0.0238
корреляция,Дента 120 мл / Петри 60 мл,denta1.60,,+0.1050,+0.0238
корреляция,Маринелли 1 л / Дента 120 мл,rho1.00,,-0.0354,+0.0597
корреляция,Маринелли 1 л / Дента 120 мл,rho1.60,,+0.0493,+0.0597
