metric,value
n_events,5000000
n_hits_in_crystal,4221
n_hits_direct,1951
n_hits_pb_scat,1578
n_hits_pb_born,692
flux_total_cm2_s,0
surface_cm2,0
rate_per_s,0.0086625
t_run_s,577200577.2
cps_total,7.3128825e-06
shield,1
shield_pb_mm,50
shield_cavity_mm,150x150x385
stand_mm,25
device_z_mm,-133.75
screen_up,1

bin_keV,counts,cps,counts_direct,counts_pb_scat,counts_pb_born
368,3,5.1975e-09,1,2,0
369,3,5.1975e-09,0,3,0
370,2,3.465e-09,1,1,0
371,2,3.465e-09,1,1,0
372,2,3.465e-09,0,2,0
373,2,3.465e-09,1,1,0
374,3,5.1975e-09,0,3,0
375,3,5.1975e-09,0,3,0
376,4,6.93e-09,1,3,0
377,2,3.465e-09,1,1,0
378,4,6.93e-09,1,3,0
379,6,1.0395e-08,5,1,0
380,4,6.93e-09,1,3,0
381,2,3.465e-09,2,0,0
382,2,3.465e-09,0,2,0
383,1,1.7325e-09,0,1,0
384,2,3.465e-09,1,1,0
385,1,1.7325e-09,1,0,0
386,6,1.0395e-08,4,2,0
387,4,6.93e-09,3,1,0
388,11,1.90575e-08,10,1,0
389,5,8.6625e-09,2,3,0
390,3,5.1975e-09,1,2,0
391,3,5.1975e-09,1,2,0
392,1,1.7325e-09,1,0,0
393,5,8.6625e-09,3,2,0
394,2,3.465e-09,0,2,0
395,0,0,0,0,0
396,4,6.93e-09,3,1,0
397,1,1.7325e-09,1,0,0
398,2,3.465e-09,0,2,0
399,1,1.7325e-09,0,1,0
400,5,8.6625e-09,3,2,0
401,2,3.465e-09,2,0,0
402,5,8.6625e-09,2,3,0
403,4,6.93e-09,2,2,0
404,9,1.55925e-08,4,5,0
405,1,1.7325e-09,0,1,0
406,2,3.465e-09,0,2,0
407,2,3.465e-09,1,1,0
408,4,6.93e-09,1,3,0
409,1,1.7325e-09,1,0,0
410,2,3.465e-09,0,2,0
411,4,6.93e-09,1,3,0
412,3,5.1975e-09,0,3,0
413,5,8.6625e-09,1,4,0
414,3,5.1975e-09,1,2,0
415,3,5.1975e-09,1,2,0
416,4,6.93e-09,3,1,0
417,6,1.0395e-08,1,5,0
418,3,5.1975e-09,2,1,0
419,0,0,0,0,0
420,7,1.21275e-08,4,3,0
421,5,8.6625e-09,2,3,0
422,2,3.465e-09,1,1,0
423,1,1.7325e-09,1,0,0
424,2,3.465e-09,0,2,0
425,5,8.6625e-09,2,3,0
426,3,5.1975e-09,2,1,0
427,4,6.93e-09,2,2,0
428,3,5.1975e-09,2,1,0
429,1,1.7325e-09,1,0,0
430,4,6.93e-09,2,2,0
431,2,3.465e-09,0,2,0
432,0,0,0,0,0
433,4,6.93e-09,3,1,0
434,4,6.93e-09,1,3,0
435,4,6.93e-09,2,2,0
436,4,6.93e-09,2,2,0
437,3,5.1975e-09,3,0,0
438,2,3.465e-09,0,2,0
439,0,0,0,0,0
440,1,1.7325e-09,1,0,0
441,3,5.1975e-09,1,2,0
442,3,5.1975e-09,1,2,0
443,2,3.465e-09,1,1,0
444,0,0,0,0,0
445,2,3.465e-09,0,2,0
446,6,1.0395e-08,5,1,0
447,2,3.465e-09,1,1,0
448,0,0,0,0,0
449,5,8.6625e-09,2,3,0
450,4,6.93e-09,1,2,1
451,1,1.7325e-09,1,0,0
452,1,1.7325e-09,0,1,0
453,1,1.7325e-09,0,1,0
454,4,6.93e-09,1,3,0
455,2,3.465e-09,0,2,0
456,0,0,0,0,0
457,3,5.1975e-09,3,0,0
458,1,1.7325e-09,1,0,0
459,2,3.465e-09,1,1,0
460,2,3.465e-09,2,0,0
461,3,5.1975e-09,3,0,0
462,1,1.7325e-09,1,0,0
463,1,1.7325e-09,0,1,0
464,2,3.465e-09,2,0,0
465,0,0,0,0,0
466,1,1.7325e-09,0,1,0
467,3,5.1975e-09,2,1,0
468,6,1.0395e-08,3,3,0
469,3,5.1975e-09,2,1,0
470,5,8.6625e-09,3,2,0
471,2,3.465e-09,0,2,0
472,1,1.7325e-09,1,0,0
473,4,6.93e-09,0,4,0
474,3,5.1975e-09,2,1,0
475,1,1.7325e-09,0,1,0
476,1,1.7325e-09,1,0,0
477,1,1.7325e-09,0,1,0
478,6,1.0395e-08,3,3,0
479,1,1.7325e-09,0,1,0
480,1,1.7325e-09,0,1,0
481,1,1.7325e-09,0,1,0
482,2,3.465e-09,0,2,0
483,1,1.7325e-09,1,0,0
484,5,8.6625e-09,4,1,0
485,3,5.1975e-09,2,1,0
486,2,3.465e-09,2,0,0
487,4,6.93e-09,1,3,0
488,1,1.7325e-09,1,0,0
489,2,3.465e-09,1,1,0
490,3,5.1975e-09,2,1,0
491,1,1.7325e-09,1,0,0
492,0,0,0,0,0
493,1,1.7325e-09,1,0,0
494,1,1.7325e-09,0,1,0
495,3,5.1975e-09,3,0,0
496,0,0,0,0,0
497,0,0,0,0,0
498,4,6.93e-09,3,1,0
499,2,3.465e-09,1,1,0
500,3,5.1975e-09,1,2,0
501,1,1.7325e-09,1,0,0
502,1,1.7325e-09,1,0,0
503,2,3.465e-09,2,0,0
504,3,5.1975e-09,0,3,0
505,2,3.465e-09,0,1,1
506,0,0,0,0,0
507,5,8.6625e-09,4,1,0
508,3,5.1975e-09,2,1,0
509,0,0,0,0,0
510,9,1.55925e-08,3,1,5
511,1,1.7325e-09,0,0,1
512,3,5.1975e-09,1,2,0
513,3,5.1975e-09,3,0,0
514,0,0,0,0,0
515,1,1.7325e-09,0,1,0
516,1,1.7325e-09,1,0,0
517,2,3.465e-09,0,2,0
518,1,1.7325e-09,0,1,0
519,2,3.465e-09,1,1,0
520,1,1.7325e-09,1,0,0
521,2,3.465e-09,2,0,0
522,1,1.7325e-09,0,1,0
523,0,0,0,0,0
524,3,5.1975e-09,2,1,0
525,1,1.7325e-09,0,1,0
526,2,3.465e-09,1,1,0
527,2,3.465e-09,1,1,0
528,1,1.7325e-09,1,0,0
529,1,1.7325e-09,1,0,0
530,2,3.465e-09,0,2,0
531,0,0,0,0,0
532,3,5.1975e-09,0,3,0
533,4,6.93e-09,3,1,0
534,2,3.465e-09,0,2,0
535,1,1.7325e-09,0,1,0
536,1,1.7325e-09,0,1,0
537,3,5.1975e-09,3,0,0
538,5,8.6625e-09,2,3,0
539,1,1.7325e-09,1,0,0
540,1,1.7325e-09,1,0,0
541,2,3.465e-09,1,1,0
542,3,5.1975e-09,2,1,0
543,2,3.465e-09,0,2,0
544,1,1.7325e-09,1,0,0
545,1,1.7325e-09,1,0,0
546,4,6.93e-09,2,2,0
547,0,0,0,0,0
548,0,0,0,0,0
549,3,5.1975e-09,2,1,0
550,1,1.7325e-09,1,0,0
551,4,6.93e-09,2,2,0
552,2,3.465e-09,2,0,0
553,1,1.7325e-09,1,0,0
554,0,0,0,0,0
555,0,0,0,0,0
556,2,3.465e-09,2,0,0
557,2,3.465e-09,1,1,0
558,2,3.465e-09,2,0,0
559,0,0,0,0,0
560,1,1.7325e-09,0,1,0
561,2,3.465e-09,1,1,0
562,1,1.7325e-09,1,0,0
563,1,1.7325e-09,1,0,0
564,2,3.465e-09,2,0,0
565,1,1.7325e-09,1,0,0
566,1,1.7325e-09,1,0,0
567,2,3.465e-09,1,1,0
568,2,3.465e-09,0,2,0
569,0,0,0,0,0
570,2,3.465e-09,1,1,0
571,2,3.465e-09,1,1,0
572,2,3.465e-09,1,1,0
573,3,5.1975e-09,0,3,0
574,2,3.465e-09,1,1,0
575,1,1.7325e-09,1,0,0
576,1,1.7325e-09,1,0,0
577,2,3.465e-09,1,1,0
578,6,1.0395e-08,5,1,0
579,2,3.465e-09,1,1,0
580,2,3.465e-09,1,1,0
581,2,3.465e-09,2,0,0
582,2,3.465e-09,1,1,0
583,3,5.1975e-09,1,2,0
584,0,0,0,0,0
585,2,3.465e-09,1,1,0
586,0,0,0,0,0
587,4,6.93e-09,3,1,0
588,0,0,0,0,0
589,0,0,0,0,0
590,4,6.93e-09,2,2,0
591,2,3.465e-09,1,1,0
592,3,5.1975e-09,2,1,0
593,2,3.465e-09,1,1,0
594,0,0,0,0,0
595,1,1.7325e-09,1,0,0
596,2,3.465e-09,1,1,0
597,0,0,0,0,0
598,1,1.7325e-09,1,0,0
599,0,0,0,0,0
600,1,1.7325e-09,1,0,0
601,0,0,0,0,0
602,0,0,0,0,0
603,0,0,0,0,0
604,4,6.93e-09,2,2,0
605,1,1.7325e-09,0,1,0
606,3,5.1975e-09,1,2,0
607,1,1.7325e-09,0,1,0
608,3,5.1975e-09,1,2,0
609,168,2.9106e-07,168,0,0
610,1,1.7325e-09,1,0,0
611,3,5.1975e-09,3,0,0
612,4,6.93e-09,2,1,1
613,5,8.6625e-09,4,1,0
614,0,0,0,0,0
615,4,6.93e-09,4,0,0
616,3,5.1975e-09,3,0,0
617,1,1.7325e-09,1,0,0
618,1,1.7325e-09,1,0,0
619,1,1.7325e-09,1,0,0
620,2,3.465e-09,1,1,0
621,0,0,0,0,0
622,4,6.93e-09,2,2,0
623,1,1.7325e-09,1,0,0
624,3,5.1975e-09,1,2,0
625,2,3.465e-09,1,1,0
626,3,5.1975e-09,3,0,0
627,0,0,0,0,0
628,3,5.1975e-09,1,2,0
629,3,5.1975e-09,3,0,0
630,4,6.93e-09,1,3,0
631,1,1.7325e-09,1,0,0
632,0,0,0,0,0
633,1,1.7325e-09,1,0,0
634,3,5.1975e-09,1,2,0
635,2,3.465e-09,1,1,0
636,0,0,0,0,0
637,2,3.465e-09,2,0,0
638,2,3.465e-09,1,1,0
639,2,3.465e-09,2,0,0
640,0,0,0,0,0
641,0,0,0,0,0
642,0,0,0,0,0
643,1,1.7325e-09,0,1,0
644,0,0,0,0,0
645,0,0,0,0,0
646,2,3.465e-09,1,1,0
647,2,3.465e-09,2,0,0
648,2,3.465e-09,1,1,0
649,2,3.465e-09,0,2,0
650,1,1.7325e-09,1,0,0
651,0,0,0,0,0
652,2,3.465e-09,2,0,0
653,2,3.465e-09,0,2,0
654,1,1.7325e-09,1,0,0
655,2,3.465e-09,0,2,0
656,1,1.7325e-09,1,0,0
657,1,1.7325e-09,1,0,0
658,1,1.7325e-09,0,1,0
659,0,0,0,0,0
660,1,1.7325e-09,1,0,0
661,2,3.465e-09,0,2,0
662,2,3.465e-09,1,1,0
663,1,1.7325e-09,1,0,0
664,2,3.465e-09,2,0,0
665,3,5.1975e-09,3,0,0
666,0,0,0,0,0
667,1,1.7325e-09,1,0,0
668,2,3.465e-09,2,0,0
669,1,1.7325e-09,0,1,0
670,4,6.93e-09,3,1,0
671,3,5.1975e-09,2,1,0
672,3,5.1975e-09,3,0,0
673,1,1.7325e-09,1,0,0
674,2,3.465e-09,1,1,0
675,1,1.7325e-09,1,0,0
676,3,5.1975e-09,2,1,0
677,2,3.465e-09,2,0,0
678,3,5.1975e-09,2,1,0
679,0,0,0,0,0
680,3,5.1975e-09,2,1,0
681,3,5.1975e-09,2,1,0
682,1,1.7325e-09,0,1,0
683,0,0,0,0,0
684,0,0,0,0,0
685,4,6.93e-09,3,1,0
686,1,1.7325e-09,0,1,0
687,2,3.465e-09,2,0,0
688,3,5.1975e-09,1,2,0
689,0,0,0,0,0
690,4,6.93e-09,3,1,0
691,0,0,0,0,0
692,1,1.7325e-09,0,1,0
693,1,1.7325e-09,0,1,0
694,2,3.465e-09,1,1,0
695,2,3.465e-09,0,2,0
696,2,3.465e-09,0,2,0
697,0,0,0,0,0
698,2,3.465e-09,1,1,0
699,3,5.1975e-09,3,0,0
700,3,5.1975e-09,1,2,0
701,1,1.7325e-09,1,0,0
702,3,5.1975e-09,2,1,0
703,3,5.1975e-09,2,1,0
704,5,8.6625e-09,2,3,0
705,1,1.7325e-09,0,1,0
706,1,1.7325e-09,1,0,0
707,1,1.7325e-09,0,1,0
708,1,1.7325e-09,1,0,0
709,1,1.7325e-09,1,0,0
710,2,3.465e-09,1,1,0
711,0,0,0,0,0
712,2,3.465e-09,0,2,0
713,4,6.93e-09,1,3,0
714,2,3.465e-09,1,1,0
715,1,1.7325e-09,1,0,0
716,4,6.93e-09,2,2,0
717,1,1.7325e-09,0,1,0
718,2,3.465e-09,2,0,0
719,3,5.1975e-09,3,0,0
720,4,6.93e-09,1,3,0
721,0,0,0,0,0
722,2,3.465e-09,1,1,0
723,0,0,0,0,0
724,3,5.1975e-09,2,1,0
725,1,1.7325e-09,1,0,0
726,2,3.465e-09,1,1,0
727,2,3.465e-09,1,1,0
728,0,0,0,0,0
729,1,1.7325e-09,1,0,0
730,0,0,0,0,0
731,0,0,0,0,0
732,1,1.7325e-09,1,0,0
733,1,1.7325e-09,0,1,0
734,3,5.1975e-09,2,1,0
735,2,3.465e-09,0,2,0
736,2,3.465e-09,1,1,0
737,2,3.465e-09,1,1,0
738,0,0,0,0,0
739,0,0,0,0,0
740,0,0,0,0,0
741,1,1.7325e-09,1,0,0
742,3,5.1975e-09,3,0,0
743,0,0,0,0,0
744,1,1.7325e-09,1,0,0
745,3,5.1975e-09,3,0,0
746,2,3.465e-09,1,1,0
747,3,5.1975e-09,1,2,0
748,2,3.465e-09,2,0,0
749,0,0,0,0,0
750,0,0,0,0,0
751,2,3.465e-09,2,0,0
752,2,3.465e-09,2,0,0
753,0,0,0,0,0
754,1,1.7325e-09,1,0,0
755,0,0,0,0,0
756,1,1.7325e-09,1,0,0
757,4,6.93e-09,4,0,0
758,1,1.7325e-09,1,0,0
759,0,0,0,0,0
760,3,5.1975e-09,3,0,0
761,4,6.93e-09,2,2,0
762,2,3.465e-09,1,1,0
763,1,1.7325e-09,0,1,0
764,4,6.93e-09,3,1,0
765,1,1.7325e-09,0,1,0
