config,matrix,rho_gcm3,E_keV,eps_p,d_eps_p,eps_t,d_eps_t,f_abs
full_water_1.00,water,1.0000,46.5,9.898000e-03,7.03e-05,1.326050e-02,8.14e-05,0.9312
full_water_1.00,water,1.0000,59.5,1.015900e-02,7.13e-05,1.706150e-02,9.24e-05,0.8869
full_water_1.00,water,1.0000,80.0,1.017550e-02,7.13e-05,1.778250e-02,9.43e-05,0.8568
full_water_1.00,water,1.0000,92.6,1.020950e-02,7.14e-05,1.765600e-02,9.40e-05,0.8700
full_water_1.00,water,1.0000,122.0,9.626000e-03,6.94e-05,1.656000e-02,9.10e-05,0.8810
full_water_1.00,water,1.0000,186.0,6.694000e-03,5.79e-05,1.253750e-02,7.92e-05,0.8621
full_water_1.00,water,1.0000,238.6,4.571000e-03,4.78e-05,9.879000e-03,7.03e-05,0.8904
full_water_1.00,water,1.0000,295.2,3.125500e-03,3.95e-05,8.042000e-03,6.34e-05,0.8881
full_water_1.00,water,1.0000,351.9,2.169500e-03,3.29e-05,6.764500e-03,5.82e-05,0.8555
full_water_1.00,water,1.0000,477.0,1.178000e-03,2.43e-05,5.263500e-03,5.13e-05,0.8552
full_water_1.00,water,1.0000,583.2,8.075000e-04,2.01e-05,4.569500e-03,4.78e-05,0.9271
full_water_1.00,water,1.0000,609.3,7.445000e-04,1.93e-05,4.465500e-03,4.73e-05,0.9002
full_water_1.00,water,1.0000,661.7,6.105000e-04,1.75e-05,4.162000e-03,4.56e-05,0.8432
full_water_1.00,water,1.0000,795.0,4.365000e-04,1.48e-05,3.820000e-03,4.37e-05,0.8362
full_water_1.00,water,1.0000,911.2,3.565000e-04,1.34e-05,3.465000e-03,4.16e-05,0.9118
full_water_1.00,water,1.0000,968.9,3.155000e-04,1.26e-05,3.433500e-03,4.14e-05,0.9753
full_water_1.00,water,1.0000,1120.3,2.685000e-04,1.16e-05,3.227000e-03,4.02e-05,1.0000
full_water_1.00,water,1.0000,1173.2,2.355000e-04,1.09e-05,3.020500e-03,3.89e-05,0.9671
full_water_1.00,water,1.0000,1332.5,1.900000e-04,9.75e-06,2.941000e-03,3.83e-05,0.9572
full_water_1.00,water,1.0000,1460.8,1.560000e-04,8.83e-06,2.794500e-03,3.74e-05,0.8571
full_water_1.00,water,1.0000,1764.5,1.225000e-04,7.83e-06,2.645500e-03,3.64e-05,0.9722
full_water_1.00,water,1.0000,2204.0,7.400000e-05,6.08e-06,2.489000e-03,3.53e-05,0.9024
full_water_1.00,water,1.0000,2614.5,5.600000e-05,5.29e-06,2.470500e-03,3.51e-05,0.9739
full_water_1.00,water,1.0000,3000.0,4.000000e-05,4.47e-06,2.443000e-03,3.49e-05,0.9412
