E_keV,measured,baseline,apparent
920.52,5.977950e-04,2.844061e-04,2.783532e-04
923.20,5.879951e-04,2.832169e-04,2.765689e-04
925.87,5.455288e-04,2.819319e-04,2.748505e-04
928.55,5.716619e-04,2.805100e-04,2.731319e-04
931.23,6.059616e-04,2.789610e-04,2.714253e-04
933.91,5.242956e-04,2.773769e-04,2.698137e-04
936.59,6.141282e-04,2.757136e-04,2.682347e-04
939.27,5.471621e-04,2.739619e-04,2.666748e-04
941.95,5.357289e-04,2.722481e-04,2.652321e-04
944.63,6.043283e-04,2.705217e-04,2.638479e-04
947.31,5.700286e-04,2.687405e-04,2.624841e-04
950.00,5.536954e-04,2.670568e-04,2.612489e-04
952.68,5.618620e-04,2.654076e-04,2.600841e-04
955.36,5.177624e-04,2.637340e-04,2.589456e-04
958.05,5.749285e-04,2.621757e-04,2.579250e-04
960.73,5.569620e-04,2.606744e-04,2.569760e-04
963.42,5.700286e-04,2.591787e-04,2.560638e-04
966.11,5.487954e-04,2.577743e-04,2.552394e-04
968.79,4.932626e-04,2.564393e-04,2.544837e-04
971.48,5.275623e-04,2.551251e-04,2.537657e-04
974.17,5.275623e-04,2.538725e-04,2.531053e-04
976.86,5.765619e-04,2.526961e-04,2.525048e-04
979.55,5.585953e-04,2.515528e-04,2.519366e-04
982.24,4.867293e-04,2.504477e-04,2.513987e-04
984.93,5.046958e-04,2.494284e-04,2.509099e-04
987.62,5.226623e-04,2.484584e-04,2.504466e-04
990.32,5.308289e-04,2.475144e-04,2.499917e-04
993.01,5.144957e-04,2.466694e-04,2.495782e-04
995.70,5.161290e-04,2.458861e-04,2.491838e-04
998.40,4.720294e-04,2.451424e-04,2.487927e-04
1001.09,4.883626e-04,2.444916e-04,2.484329e-04
1003.79,4.475296e-04,2.439143e-04,2.480945e-04
1006.48,4.622295e-04,2.433945e-04,2.477675e-04
1009.18,4.181298e-04,2.429502e-04,2.474658e-04
1011.88,4.818293e-04,2.425830e-04,2.471961e-04
1014.58,5.046958e-04,2.422764e-04,2.469514e-04
1017.28,3.772969e-04,2.420267e-04,2.467339e-04
1019.97,4.736627e-04,2.418430e-04,2.465598e-04
1022.68,4.344630e-04,2.417081e-04,2.464218e-04
1025.38,3.805635e-04,2.416120e-04,2.463167e-04
1028.08,4.344630e-04,2.415587e-04,2.462560e-04
1030.78,4.262964e-04,2.415348e-04,2.462309e-04
1033.48,4.360964e-04,2.415327e-04,2.462365e-04
1036.19,4.034300e-04,2.415483e-04,2.462690e-04
1038.89,4.344630e-04,2.415757e-04,2.463182e-04
1041.59,4.622295e-04,2.416092e-04,2.463724e-04
1044.30,4.475296e-04,2.416447e-04,2.464170e-04
1047.01,4.426296e-04,2.416805e-04,2.464363e-04
1049.71,4.589628e-04,2.417145e-04,2.464130e-04
1052.42,4.556962e-04,2.417451e-04,2.463214e-04
1055.13,4.262964e-04,2.417742e-04,2.461460e-04
1057.84,4.393630e-04,2.418029e-04,2.458687e-04
1060.54,4.736627e-04,2.418330e-04,2.454602e-04
1063.25,4.720294e-04,2.418678e-04,2.448931e-04
1065.96,4.099633e-04,2.419114e-04,2.441773e-04
1068.68,3.887301e-04,2.419670e-04,2.432865e-04
1071.39,4.458963e-04,2.420395e-04,2.421613e-04
1074.10,3.985300e-04,2.421324e-04,2.408663e-04
1076.81,4.066966e-04,2.422490e-04,2.393766e-04
1079.53,3.838301e-04,2.423946e-04,2.376556e-04
1082.24,4.491629e-04,2.425732e-04,2.357126e-04
1084.96,4.295631e-04,2.427825e-04,2.336235e-04
1087.67,4.279298e-04,2.430262e-04,2.313599e-04
1090.39,4.115966e-04,2.433145e-04,2.288455e-04
1093.10,4.475296e-04,2.436333e-04,2.262627e-04
1095.82,4.605962e-04,2.439865e-04,2.235740e-04
1098.54,4.524296e-04,2.443788e-04,2.207524e-04
1101.26,4.262964e-04,2.448090e-04,2.178282e-04
1103.98,4.115966e-04,2.452604e-04,2.149338e-04
1106.70,4.001633e-04,2.457384e-04,2.120232e-04
1109.42,4.769294e-04,2.462537e-04,2.090323e-04
1112.14,4.132299e-04,2.467796e-04,2.061396e-04
1114.86,4.213965e-04,2.473175e-04,2.033225e-04
1117.58,4.981625e-04,2.478710e-04,2.005550e-04
1120.31,4.491629e-04,2.484446e-04,1.978141e-04
1123.03,4.050633e-04,2.490078e-04,1.952561e-04
1125.76,4.360964e-04,2.495723e-04,1.928044e-04
1128.48,4.605962e-04,2.501456e-04,1.904176e-04
1131.21,4.589628e-04,2.507115e-04,1.881661e-04
1133.93,4.720294e-04,2.512620e-04,1.860708e-04
1136.66,4.360964e-04,2.518029e-04,1.840923e-04
1139.39,4.769294e-04,2.523468e-04,1.821686e-04
1142.12,4.507962e-04,2.528612e-04,1.804179e-04
1144.85,4.295631e-04,2.533563e-04,1.787797e-04
1147.58,4.393630e-04,2.538339e-04,1.772310e-04
1150.31,4.687628e-04,2.542940e-04,1.757530e-04
1153.04,3.985300e-04,2.547132e-04,1.744118e-04
1155.77,4.442630e-04,2.550986e-04,1.731584e-04
1158.50,4.458963e-04,2.554487e-04,1.719699e-04
1161.23,4.017967e-04,2.557494e-04,1.708689e-04
1163.97,4.181298e-04,2.559902e-04,1.698722e-04
1166.70,4.066966e-04,2.561677e-04,1.689578e-04
1169.44,3.936301e-04,2.562715e-04,1.681070e-04
1172.17,3.691303e-04,2.562866e-04,1.673619e-04
1174.91,4.115966e-04,2.562061e-04,1.667149e-04
1177.65,4.001633e-04,2.560187e-04,1.661617e-04
1180.38,3.968967e-04,2.556948e-04,1.656938e-04
1183.12,3.576970e-04,2.552444e-04,1.653482e-04
1185.86,3.968967e-04,2.546486e-04,1.651102e-04
1188.60,3.903634e-04,2.538896e-04,1.649817e-04
1191.34,3.397305e-04,2.529245e-04,1.649694e-04
1194.08,3.560637e-04,2.517986e-04,1.650759e-04
1196.82,4.034300e-04,2.504754e-04,1.652956e-04
1199.56,3.838301e-04,2.489278e-04,1.656301e-04
1202.30,3.658636e-04,2.471205e-04,1.660835e-04
1205.05,3.380972e-04,2.451259e-04,1.666301e-04
1207.79,3.380972e-04,2.428962e-04,1.672693e-04
1210.54,3.560637e-04,2.403921e-04,1.680005e-04
1213.28,3.544304e-04,2.376045e-04,1.688130e-04
1216.03,3.331972e-04,2.346270e-04,1.696666e-04
1218.77,3.266639e-04,2.314058e-04,1.705613e-04
