metric,value
n_events,100000000
n_hits_in_crystal,54057
n_overflow,27239
r_disk_mm,300
z_disk_mm,300
disk_area_cm2,2827.433388
pdg_expected_per_s,47.21813758
e_lo_gev,0.3
e_hi_gev,100
max_edep_keV,25961.64042

bin_keV,counts,per_muon
1119,11,1.1e-07
1120,6,6e-08
1121,7,7e-08
1122,6,6e-08
1123,7,7e-08
1124,7,7e-08
1125,3,3e-08
1126,3,3e-08
1127,11,1.1e-07
1128,11,1.1e-07
1129,5,5e-08
1130,5,5e-08
1131,4,4e-08
1132,11,1.1e-07
1133,11,1.1e-07
1134,8,8e-08
1135,10,1e-07
1136,9,9e-08
1137,13,1.3e-07
1138,7,7e-08
1139,8,8e-08
1140,7,7e-08
1141,9,9e-08
1142,9,9e-08
1143,9,9e-08
1144,13,1.3e-07
1145,4,4e-08
1146,11,1.1e-07
1147,9,9e-08
1148,14,1.4e-07
1149,7,7e-08
1150,9,9e-08
1151,12,1.2e-07
1152,4,4e-08
1153,10,1e-07
1154,9,9e-08
1155,6,6e-08
1156,5,5e-08
1157,7,7e-08
1158,6,6e-08
1159,2,2e-08
1160,6,6e-08
1161,2,2e-08
1162,7,7e-08
1163,7,7e-08
1164,12,1.2e-07
1165,7,7e-08
1166,10,1e-07
1167,5,5e-08
1168,6,6e-08
1169,12,1.2e-07
1170,5,5e-08
1171,10,1e-07
1172,7,7e-08
1173,6,6e-08
1174,5,5e-08
1175,3,3e-08
1176,6,6e-08
1177,5,5e-08
1178,8,8e-08
1179,9,9e-08
1180,7,7e-08
1181,6,6e-08
1182,6,6e-08
1183,5,5e-08
1184,10,1e-07
1185,5,5e-08
1186,8,8e-08
1187,4,4e-08
1188,9,9e-08
1189,3,3e-08
1190,10,1e-07
1191,6,6e-08
1192,8,8e-08
1193,7,7e-08
1194,3,3e-08
1195,4,4e-08
1196,8,8e-08
1197,4,4e-08
1198,10,1e-07
1199,6,6e-08
1200,5,5e-08
1201,5,5e-08
1202,9,9e-08
1203,11,1.1e-07
1204,9,9e-08
1205,9,9e-08
1206,6,6e-08
1207,9,9e-08
1208,13,1.3e-07
1209,9,9e-08
1210,2,2e-08
1211,8,8e-08
1212,7,7e-08
1213,6,6e-08
1214,5,5e-08
1215,11,1.1e-07
1216,4,4e-08
1217,10,1e-07
1218,3,3e-08
1219,9,9e-08
1220,5,5e-08
1221,10,1e-07
1222,10,1e-07
